Comment,Designator,Footprint,LCSC Part #
0.1uF,I2C_DATA SD_SWITCH SENSOR_SWITCH U$2 C1 C3 C4 C6,603,
2.0k,R3 R11 R12,603,
5K,SCL_PUP SDA_PUP,RESC1608X60,
10uF,C5 C7,1210,
100k,R1,RESC1608X60,
100k,R2,603,
100k,R4,RESC1608X60,
100k,R5 R6 R7 R8 R9 R10,603,
100k,R13 R14,RESC1608X60,
ADS1015IDGST,ADC,SOP50P490X110-10N,
AP2171WG-7,AP2171WG-7 AP2171_SD_SWITCH,AP2171WG-7,
JUMPER-SMT_2_NC_TRACE_NO-SILK,JP2 JP3,SMT-JUMPER_2_NC_TRACE_NO-SILK,
JUMPER-SMT_2_NC_TRACE_SILK,I2C_LED,SMT-JUMPER_2_NC_TRACE_SILK,
R-US_CHIP-0603(1608-METRIC),4.7K,RESC1608X60,
SWS003,MODE,SMS-003,
TEST-POINT3X5,GND_TP U.FL_TP,PAD.03X.05,
TPL5000DGST,U1,SOP50P490X110-10N,
U.FL,UFL,U.FL,
MEM2051-00-195-00-A,J3,GCT_MEM2051-00-195-00-A,
